config_label,config,sequence,successful_runs,ate_rmse_cm,ate_std_cm,ate_p95_cm,rpe_translation_cm,rpe_translation_std_cm,rpe_rotation_deg,rpe_rotation_std_deg,failure_rate_percent,end_to_end_seconds,trajectory_coverage_percent,used_motion_priors,would_use_motion_priors,temporal_flow_guard_valid_frames,temporal_flow_guard_rejected_pixels,temporal_recovered_static_pixels
Semantic,semantic,tum_walking_xyz,3,2.2955,0.013987136947924642,5.09654457016641,1.1579,0.01718254928699461,0.38979633333333336,0.0025786991552589895,0.0,37.31895841466667,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,tum_walking_xyz,3,2.1121,0.05092258830813697,4.330348466373039,1.1424,0.019335718243706394,0.3890613333333333,0.0025315608492258814,0.0,56.463576605,100.0,0.0,0.0,826.0,16053478.333333334,7637145.0
Strict,dypho_flow_camera_guided_strict,tum_walking_xyz,3,2.121766666666667,0.04185837232064025,4.317022141200409,1.1289333333333333,0.011479256654214764,0.38761566666666664,0.0021354133869893412,0.0,71.717689668,100.0,0.0,0.0,53.0,22105611.333333332,2194144.3333333335
Semantic,semantic,bonn_crowd,3,4.2782333333333336,0.08486025767892362,10.806493084607965,2.3722,0.0025238858928248904,2.3947766666666666,0.004065485128903152,5.177993533333333,37.419644915666666,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,bonn_crowd,3,3.2607666666666666,0.14197944686937375,7.2954804360261045,2.4467666666666665,0.12335073300687477,2.3837246666666667,0.004904510407097943,1.0068321,60.047055951666664,100.0,0.0,0.0,923.0,27985934.666666668,12559961.0
Strict,dypho_flow_camera_guided_strict,bonn_crowd,3,4.419066666666667,1.0338412708599583,7.705865171720026,2.8242,0.1748061497774034,2.405611,0.008410974438196947,2.2294138666666665,76.934871046,100.0,0.0,0.0,119.0,38626828.0,2163420.6666666665
Semantic,semantic,bonn_crowd2,3,52.184,10.167371032376069,94.30900167089817,5.6452,0.933023542039535,3.1987433333333333,0.06734612188042717,0.0,38.259358047,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,bonn_crowd2,3,3.226433333333333,0.3279236547328253,6.288227948530984,3.2885333333333335,0.14952258469319382,3.1213896666666665,0.005777898608779202,0.0,59.97807302933333,100.0,0.0,0.0,894.0,27968874.0,6934523.0
Strict,dypho_flow_camera_guided_strict,bonn_crowd2,3,24.6277,2.409429083828781,43.38368430390895,7.302766666666667,0.03560987690702268,3.249392333333333,0.023870946867129803,0.0,78.06622137866667,100.0,0.0,0.0,96.0,32077971.666666668,981377.6666666666
Semantic,semantic,bonn_crowd3,3,5.698566666666667,1.5410060555797092,11.794108655857176,2.9478999999999997,0.3361493566853876,2.7417656666666668,0.033013560128125154,0.31483666666666665,33.61450022966667,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,bonn_crowd3,3,3.8926666666666665,0.2346847317857157,7.667375830887753,2.739133333333333,0.1322003908214091,2.6941923333333335,0.012501684299858689,0.0,54.45559954866667,100.0,0.0,0.0,846.0,27506689.333333332,11057590.0
Strict,dypho_flow_camera_guided_strict,bonn_crowd3,3,4.667533333333333,0.18973698462169497,10.456586327120807,2.6801666666666666,0.11813993115510661,2.682745333333333,0.00399427294176716,0.0,71.98582024266666,100.0,0.0,0.0,85.0,38142014.0,1102187.0
Semantic,semantic,bonn_balloon,3,3.4054,0.037399598928330634,5.1883007784933675,3.9879333333333338,0.05804380529680441,2.3130756666666668,0.006395247636591853,0.0,28.322281904333334,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,bonn_balloon,3,3.1573666666666664,0.31644527699640784,4.85914005493156,4.0575,0.15174824545937893,2.3051660000000003,0.01545938174701695,0.0,37.39749694266667,100.0,0.0,0.0,437.0,11460989.0,5364266.333333333
Strict,dypho_flow_camera_guided_strict,bonn_balloon,3,3.7762666666666664,0.08797819805686732,5.899269933913468,3.8729,0.037021750363806324,2.29803,0.0015329680361963513,0.0,44.416690742,100.0,0.0,0.0,14.0,17137705.0,213690.0
Semantic,semantic,bonn_person_tracking,3,4.2314,0.1676435802528685,6.71994001307178,7.561366666666666,0.08542536703657364,7.521887666666666,0.017057980312256533,0.0,26.496958201333335,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,bonn_person_tracking,3,4.116733333333333,0.7011520686223022,6.540134788065946,7.636900000000001,0.14870685929035024,7.548828,0.01263071340027945,0.0,41.51973248266667,100.0,0.0,0.0,573.0,15497283.333333334,2971941.3333333335
Strict,dypho_flow_camera_guided_strict,bonn_person_tracking,3,5.213,1.140881821224267,9.184791544369073,7.596066666666667,0.18339362947859805,7.583801666666667,0.0993464919477948,0.0,52.533863243,100.0,0.0,0.0,54.0,18543991.0,88400.66666666667
Semantic,semantic,bonn_person_tracking2,3,7.223866666666668,1.2289285468786757,12.110312838863276,6.2689666666666675,0.18889521786782584,6.006286333333334,0.036919445355169306,0.0,25.774519970333333,100.0,0.0,0.0,0.0,0.0,0.0
Guarded/GDOR,dypho_flow_guarded,bonn_person_tracking2,3,6.8205,0.47885752578402707,11.668371928146017,6.305633333333334,0.10722487273638244,5.983488333333333,0.03020244354904633,0.0,39.01419735233333,100.0,0.0,0.0,566.0,12613204.0,3858922.6666666665
Strict,dypho_flow_camera_guided_strict,bonn_person_tracking2,3,8.454166666666667,1.1982274505841253,15.582759808084202,6.4876000000000005,0.24518513413337292,5.996553666666666,0.016943592013895198,0.0,49.630490733,100.0,0.0,0.0,24.0,18197575.666666668,231601.66666666666
