config,sequence,seed,ate_cm,rpe_translation_cm,rpe_rotation_deg,failure_rate,time_s,run_dir,source
dypho_flow_camera_guided_strict,tum_sitting_halfsphere,0,7.9907,1.9497,0.429114,0.0,102.778649777,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_sitting_halfsphere/seed_0000,run02
dypho_flow_camera_guided_strict,tum_sitting_halfsphere,1,7.4822,1.7937,0.419221,0.0,87.819805847,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_sitting_halfsphere/seed_0001,run02
dypho_flow_camera_guided_strict,tum_sitting_halfsphere,2,6.0734,1.5663,0.420135,0.0,83.847120378,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_sitting_halfsphere/seed_0002,run02
dypho_flow_camera_guided_strict,tum_walking_halfsphere,0,3.2154000000000003,1.3521999999999998,0.395003,0.0,147.616292207,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_halfsphere/seed_0000,run02
dypho_flow_camera_guided_strict,tum_walking_halfsphere,1,3.1112,1.3563,0.40977,0.0,85.6497537,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_halfsphere/seed_0001,run02
dypho_flow_camera_guided_strict,tum_walking_halfsphere,2,3.7233,1.3721,0.402768,0.0,101.97019276,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_halfsphere/seed_0002,run02
dypho_flow_camera_guided_strict,tum_walking_static,0,0.7259,0.5863,0.175864,0.0,128.3173407,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_static/seed_0000,run02
dypho_flow_camera_guided_strict,tum_walking_static,1,0.8023,0.6292,0.175604,0.0,116.377606329,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_static/seed_0001,run02
dypho_flow_camera_guided_strict,tum_walking_static,2,0.7064,0.5897,0.174834,0.0,62.779434096,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_static/seed_0002,run02
dypho_flow_camera_guided_strict,tum_walking_xyz,0,2.1231,1.1167,0.3876,0.0,61.040361961,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_xyz/seed_0000,run02
dypho_flow_camera_guided_strict,tum_walking_xyz,1,2.0931,1.1103999999999998,0.382789,0.0,60.751357291,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_xyz/seed_0001,run02
dypho_flow_camera_guided_strict,tum_walking_xyz,2,2.0866,1.099,0.387721,0.0,78.156526818,artifact://DYN-18/run02/dypho_flow_camera_guided_strict/tum_walking_xyz/seed_0002,run02
dypho_flow_guarded,tum_sitting_halfsphere,0,7.5123,1.7061,0.423753,0.0,64.06441752,artifact://DYN-18/run02/dypho_flow_guarded/tum_sitting_halfsphere/seed_0000,run02
dypho_flow_guarded,tum_sitting_halfsphere,1,5.9671,1.5313,0.421285,0.0,65.062319498,artifact://DYN-18/run02/dypho_flow_guarded/tum_sitting_halfsphere/seed_0001,run02
dypho_flow_guarded,tum_sitting_halfsphere,2,8.581199999999999,1.7012,0.413692,0.0,63.94050342,artifact://DYN-18/run02/dypho_flow_guarded/tum_sitting_halfsphere/seed_0002,run02
dypho_flow_guarded,tum_walking_halfsphere,0,3.0602,1.3393,0.40699,0.0,88.606406607,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_halfsphere/seed_0000,run02
dypho_flow_guarded,tum_walking_halfsphere,1,3.6089999999999995,1.3568,0.411811,0.0,72.954100437,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_halfsphere/seed_0001,run02
dypho_flow_guarded,tum_walking_halfsphere,2,3.3632000000000004,1.3112000000000001,0.400497,0.0,77.758444787,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_halfsphere/seed_0002,run02
dypho_flow_guarded,tum_walking_static,0,0.8542,0.5788,0.172838,0.0,56.726750399,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_static/seed_0000,run02
dypho_flow_guarded,tum_walking_static,1,0.8182999999999999,0.5622,0.171725,0.0,39.676128054,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_static/seed_0001,run02
dypho_flow_guarded,tum_walking_static,2,0.8562000000000001,0.5607,0.170298,0.0,40.306668637,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_static/seed_0002,run02
dypho_flow_guarded,tum_walking_xyz,0,2.1431,1.1360000000000001,0.391448,0.0,47.892175644,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_xyz/seed_0000,run02
dypho_flow_guarded,tum_walking_xyz,1,2.0642,1.1408,0.390613,0.0,47.502128692,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_xyz/seed_0001,run02
dypho_flow_guarded,tum_walking_xyz,2,2.1489000000000003,1.1293,0.388517,0.0,50.019026237,artifact://DYN-18/run02/dypho_flow_guarded/tum_walking_xyz/seed_0002,run02
semantic,tum_sitting_halfsphere,0,44.3735,2.5061,1.144557,0.165735568,40.729614224,artifact://DYN-18/run03_repair/semantic/tum_sitting_halfsphere/seed_0000,run03_repair
semantic,tum_sitting_halfsphere,1,17.607400000000002,2.612,1.08618,0.082867784,35.516614863,artifact://DYN-18/run02/semantic/tum_sitting_halfsphere/seed_0001,run02
semantic,tum_sitting_halfsphere,2,35.14,3.7593,1.48026,0.165735568,34.846856766,artifact://DYN-18/run02/semantic/tum_sitting_halfsphere/seed_0002,run02
semantic,tum_walking_halfsphere,0,3.4911,1.4749,0.403161,0.0,45.119366976,artifact://DYN-18/run02/semantic/tum_walking_halfsphere/seed_0000,run02
semantic,tum_walking_halfsphere,1,3.2044,1.6664999999999999,0.40034,0.0,52.447946604,artifact://DYN-18/run02/semantic/tum_walking_halfsphere/seed_0001,run02
semantic,tum_walking_halfsphere,2,3.5509,1.4706000000000001,0.40328,0.0,46.010062765,artifact://DYN-18/run02/semantic/tum_walking_halfsphere/seed_0002,run02
semantic,tum_walking_static,0,0.7525,0.5890000000000001,0.176315,0.0,26.44631909,artifact://DYN-18/run02/semantic/tum_walking_static/seed_0000,run02
semantic,tum_walking_static,1,1.0066,0.5721,0.177385,0.0,29.664332163,artifact://DYN-18/run02/semantic/tum_walking_static/seed_0001,run02
semantic,tum_walking_static,2,0.7851,0.581,0.173184,0.0,60.569121674,artifact://DYN-18/run02/semantic/tum_walking_static/seed_0002,run02
semantic,tum_walking_xyz,0,2.3735,1.1551,0.38891,0.0,31.495481225,artifact://DYN-18/run02/semantic/tum_walking_xyz/seed_0000,run02
semantic,tum_walking_xyz,1,2.3326,1.1733,0.392455,0.0,30.730508962,artifact://DYN-18/run02/semantic/tum_walking_xyz/seed_0001,run02
semantic,tum_walking_xyz,2,2.3341000000000003,1.1485,0.393024,0.0,30.494609801,artifact://DYN-18/run02/semantic/tum_walking_xyz/seed_0002,run02
