config,sequence,seed,status,ate_cm,failure_rate_percent,end_to_end_seconds,trajectory_coverage,recovered_support_frames,tracking_recovery_audit_pixels,tracking_recovery_mapping_leak_pixels,certificate_status,source_commit,source_dirty,run_summary_sha256,frame_metrics_sha256
dyn19_full,bonn_balloon,0,complete,3.1896,0.0,30.672900935,1.0,15,502175,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,1f83c8512abb25311e560be11a9a865b1dbb2c88c4bb465ad6cdcecbacb91163,d82ccf0a4586ad5d0bad7f4a2aea1a11b8d34afd7dfa14996d1bd67786e91d2b
dyn19_full,bonn_balloon,1,complete,3.3861000000000003,0.0,29.617009825,1.0,15,513478,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,29e52b7f42c731d8a9780401e5c57e6c60bcd8f6dd530bd9cefea75c94198f06,7112708789aa19687204588ff989e4c3247f6dfe093c77d29f49dcc2791b7656
dyn19_full,bonn_balloon,2,complete,2.9332000000000003,0.0,30.206186556,1.0,15,516473,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,2b9be18a56fd5a4d976ff06055b1141df5cb3c03dd1a0d8d291428b215a904ea,82ba7bb8ba347ecbf2bf100f4c2e1dea31cb428100e56227943f98f9deb1cdea
dyn19_full,bonn_crowd,0,complete,3.2717000000000005,1.1866234999999998,71.446677767,1.0,61,1820559,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,b7137a9ab7fae783f483a9a480922f4236e11553cea34482409fe89fd0504d45,c61071119caccdf129321bf3da9b0e5a744de03ef36ce688fa9425264ab71dd2
dyn19_full,bonn_crowd,1,complete,3.1353,1.9417476,49.815672056,1.0,73,1943940,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,d499717990871b2a0ce50b84d971917671daed72dd61765ce9306b5ab2f429b7,72ee0bf4502ed5f345e7e0cc9f0bbf6fc9bf3973d9c4b6d4a18ad555738920d3
dyn19_full,bonn_crowd,2,complete,3.2405999999999997,1.2944984,50.255540266,1.0,65,1837460,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,faa39d3a3403066713dd66daff7a93091cd57ab8d31a1da61dd9e6fbf49cacf3,97cfedf8139b14bc21427ceb4abacd36635a0e26cc8a38f7142f560042b8855d
dyn19_full,bonn_crowd2,0,complete,24.8249,0.0,50.45165052,1.0,72,767975,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,514728b83a6041f855fa4d7c97dfeb0148e2e1d3224e690e73e4bd7aeb457612,a96f4994d13b5158808e867a46a527f4450bce41d5237141cdefdd2bd3fdb016
dyn19_full,bonn_crowd2,1,complete,3.5401000000000002,0.0,49.52403058,1.0,56,632858,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,5dda6e0740514ad86d70ff53adb963fe338977946b1b0c90e7f8aa3bf7303aea,e42314aefe65922750e5065c7c61acec6a4bdf6bce78696b79731a0200435ddd
dyn19_full,bonn_crowd2,2,complete,4.874,0.0,49.747991176,1.0,54,573906,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,40c145f825bd39104ef1d3fb8c7556b96c2b526382375af4dc4fa2fbb73a1656,3af5278d02f60369a0b1b808dd7eab4729cf52b4af94b0804fa2eba21b3b97df
dyn19_full,bonn_crowd3,0,complete,4.0612,0.0,56.805472014,1.0,120,1977225,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,c53dca0728177afaf83e026607a3bee389ec00be3848af5af45848cfcd7bfe03,f08b6496b9c79bc98dd9a9adbc091c4604f8c45f1680cf2a55873cf4cb5f1eb8
dyn19_full,bonn_crowd3,1,complete,8.681,0.0,46.318890654,1.0,106,1765673,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,526404e6185bb95a0cb0ef13584fb71dbe1c4f9336a201d3e6f7c6a5fbe52603,fabd336bca30410ef967e27e6eb148e0ba4d4034eab283d9a8b3f383156d0440
dyn19_full,bonn_crowd3,2,complete,4.5264,0.0,46.125820885,1.0,111,1898181,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,3be7d14e49a1637f2461281d461a51e24b6449991126260fd7caf1e4aad1f32e,b1b7c891c568ee0ba5612d984a6693031a137757dd86c662b8bbdb0f23cb6cc2
dyn19_full,bonn_person_tracking,0,complete,4.253,0.0,38.090942545,1.0,19,155303,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,d8d4850fcff1a3380f0a6629fd9b18a566772b1c874b9b6cdcf33bf08ddf6816,804f12ea50518715525f7d62876136bc1015e38e056d118d953c35aac0f4aca4
dyn19_full,bonn_person_tracking,1,complete,6.0343,0.0,38.493690777,1.0,19,170805,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,72c5bb069fe9fd89709ce2a6f061c9427780994306716b31fe034cec19000aca,53d1f7f2029f0b2854970d14f610200296798c131ff76472c3245114ca4d69d6
dyn19_full,bonn_person_tracking,2,complete,6.2635,0.0,39.010289238,1.0,19,272737,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,661a53220d3dae28127438097de79ab02b70a213bfdfbac20b6d64afadbecfb4,8d8ef16dcccc6c6a0828230ce9977f70d43c47d4192f374d3d196c91c0fc801f
dyn19_full,bonn_person_tracking2,0,complete,8.992799999999999,0.0,36.799809831,1.0,10,328187,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,3d74d6ae48c5ac2b3f564a4c01d0c85c8f05351a9a01fccf51c6c2bf80ce0c3f,cb8780b7bd1d5820419e246ec91e9ea9f4723d430bb526b76e87a0f112898554
dyn19_full,bonn_person_tracking2,1,complete,7.4531,0.0,36.853831426,1.0,5,78557,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,6675087b47b043cadfd74382860566b11911d2d510ae1b40013ad5cf2784b5d6,35ea424a6647cf22aa90d7af329dee99447be334b2d2b9d81eaa221e6b4d091f
dyn19_full,bonn_person_tracking2,2,complete,11.181199999999999,0.0,36.062259224,1.0,5,89079,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,390dd897c70fe5cc9d9b047ae9a93ece45a378de5ee5947262ac9a32bba04188,c6122af47262b1f9c435d2a1ec7770b879229a22a431d666402610dcc5da85c4
dyn19_full,tum_sitting_halfsphere,0,complete,3.8566999999999996,0.0,68.799487419,1.0,567,11918366,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,500b125c2afefd5150fbe44f685197586e2842e0747fce93fdd9d7ffcdeb60c8,55d06a5bdc6e3ad19c8619043ceef6c9bad24eb7cd400fd7929b5c73a1fe4eff
dyn19_full,tum_sitting_halfsphere,1,complete,4.9135,0.0,64.275211095,1.0,556,11781378,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,3f2989e5572af92bf1ef10668f28f2ab4214672883432500619e2101d4515768,0ab732da79b8ededbc451e8fa5d3a007a10062094290a50e9830253cf141faad
dyn19_full,tum_sitting_halfsphere,2,complete,5.8215,0.0,65.898062521,1.0,608,12685227,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,3fe6a3ce14642c465c516bb609df321ea2b5610fb5be80c54f11cb6fe12bdb56,feedefd044fea67e077d55962d10cbd2fba42bcf3d0f19c655c8cdc62d723439
dyn19_full,tum_walking_halfsphere,0,complete,3.5475,0.0,60.08438487,1.0,94,578452,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,efdd2cc0ae61b66effdb9b5519a1ff72fad048d26e18305eff78d9cf1a873e91,a7c47271ac20d236b5519a32f8d52f101c37ed59d48393b787b01e16eb7de816
dyn19_full,tum_walking_halfsphere,1,complete,3.687,0.0,60.526529071,1.0,81,423612,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,c6e8e0e2ef39382a2637476a84e49fcf423fa99a340fa333018b96340b074be4,51e8026d9e04daffcda96b242fedde391e3f4b17132324ca95609a441a3cfa51
dyn19_full,tum_walking_halfsphere,2,complete,3.5930999999999997,0.0,59.558580192,1.0,97,578388,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,035f0efdc46bf9c787c9130bf0831c8b7d011f613d53ffc0fb49d8d793a10a88,d5057dc4a58c44c15607fd833e11b4bf58ccc743e002c9f142c310171d428ca4
dyn19_full,tum_walking_static,0,complete,0.7084,0.0,40.542056344,1.0,282,8626431,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,c97eee2729cab5063e7d43f8c50ecf8f71f436b21a09e757b5ee228968fcb78b,d7c2d24c83bc3e1697f411c5ad8669c83fbe5615deec183d01d8a845f30748b7
dyn19_full,tum_walking_static,1,complete,0.7199,0.0,40.986428199,1.0,260,7810261,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,99e9fba74579891bcd6db4054abe3d45935c08b315bd42dd6028578747242aaf,1a15ffb47df8e3445af7f4b1623929a1353cc0048b673f1e141349d8d3064ed1
dyn19_full,tum_walking_static,2,complete,0.7609,0.0,40.375241008,1.0,267,7844792,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,ebeca06ab88128d2491088776fcda5ed79932dfc7c9b8457b14025c9f1ad373d,db8c76af1266ae7eb4304b03b5353c01e0fb7f1c31632ffd03301d08e8a135db
dyn19_full,tum_walking_xyz,0,complete,2.1538999999999997,0.0,51.502195301,1.0,30,536222,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,877c8ef5a0ddaa9055a96321d1a8f4a620e2516e4047372bd84a971d3573c10e,3a744d3a14da1ac01512b2549052af85e964cc5efd8c0a48e504691c7d793852
dyn19_full,tum_walking_xyz,1,complete,2.1051,0.0,46.99375574,1.0,34,339175,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,f426400976dbb1d98df2048650af06c91b7db50f6d40fa5e5c205a142bb87f8d,6396ca1bbf8501e72e13413fd283a964fc119debad0bf443bd3ed052a84c453a
dyn19_full,tum_walking_xyz,2,complete,2.1838,0.0,46.658053235,1.0,35,531601,0,pass,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,09d4517362228f45bcb272026e6c913ea2cf99ce0b51e71c32213ab2218eaeed,4436c1f966faae673963cce4694f18c52ecad52dea3be2625b0bbbf3c11ff6b4
dyn19_mapmatched,bonn_balloon,0,complete,3.5172000000000003,0.0,23.96378456,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,5b543bb8ec82e23c175c0126e14b09cdf3dba462b78ae5e2290f11c5ed435356,4ab74895b3b5acb742b3bb9da1e182da54f5fa7575599ea4e775582d18828954
dyn19_mapmatched,bonn_balloon,1,complete,3.5666999999999995,0.0,23.922782974,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,97d04aa1d0743eb706a54c43927d00b88fc55be57888d8da652d4433c7917e94,6365afa101bfdce628cce0fd013fc729285cf057462320800635a2051e71c13d
dyn19_mapmatched,bonn_balloon,2,complete,3.2689999999999997,0.0,28.907183811,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,08965a70981367eeff0d9e49026648072e640b5c8662ee7398acb68446400c1f,410732b76c29ce3b0801d9af41f456728240ab4afcf7d9a4434107fdada1c71f
dyn19_mapmatched,bonn_crowd,0,complete,3.2632000000000003,3.6677454,36.992763974,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,512c9acdfd2039696355fb00e18b60debc8ffd49d92161122d7a7f2fd37ee315,c36db7569d358aacc0758879e93e9b5c8371582874294762562a7a1e9ae7e8a1
dyn19_mapmatched,bonn_crowd,1,complete,3.2174,3.2362460000000004,37.287499365,1.0,0,0,0,vacuous,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,9e17979093f1c028ed9314cac5547b815075a3ccc5a60aa319274c65efec2b5c,550f423c632ccae321cff076362684461ce4eefee168b428701074ee2ab0e1bb
