config,sequence,seed,status,ate_cm,failure_rate_percent,end_to_end_seconds,trajectory_coverage,recovered_support_frames,tracking_recovery_audit_pixels,tracking_recovery_mapping_leak_pixels,certificate_status,source_commit,source_dirty,run_summary_sha256,frame_metrics_sha256
dyn19_full_no_mapping,bonn_balloon,0,complete,3.0831999999999997,0.0,30.690510651,1.0,10,264346,264346,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,b71f57d482ae5c852e284f8964fd0d91c962f35d5e390e304a99f35c0ae4b0b6,3a06b256c691496220593184fa9c58c5e8a618661ea38695bce19379e703b065
dyn19_full_no_mapping,bonn_balloon,1,complete,3.1115,0.0,31.303629473,1.0,15,430640,430640,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,61f6260cf760e43cb69184e4e844d89492fd2e6f30124d051b7eae97f6f93e6b,a92817fc96d2a56c4fbec32d2015213efae22026742f82762007a3aa9aab8f95
dyn19_full_no_mapping,bonn_balloon,2,complete,3.0823,0.0,31.301195842,1.0,15,475485,475485,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,e166fca27b5c57cea071cbff118d1d5019d8b1f51ffc94a58b743d694faac407,7c781264f040ed489805c4fe3717461e480b92acfd804ff8f64cc3efcd3599fe
dyn19_full_no_mapping,bonn_crowd,0,complete,3.266,1.0787487,60.201200203,1.0,64,1834439,1834439,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,19970cfa94642497f73deb52b21fef94a6292d4bec579d6b3fda058264a39cb5,e45a3abb682619052dee5e508291a6319df27f0da6d33a66353b8fbad7a3c4ea
dyn19_full_no_mapping,bonn_crowd,1,complete,3.1102000000000003,1.8338727,53.064067715,1.0,78,2118458,2118458,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,b5cc75256e47bc2c497530fa6cb6ca67052130d2aa63682ba6996eaf7bd0c90a,aa5d67e8c9b371e1eae9b8d2ba25c9bf7860434309e6fbe1eeba9117b09bc57d
dyn19_full_no_mapping,bonn_crowd,2,complete,3.1552,2.2653722000000003,53.160525914,1.0,76,1995020,1995020,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,7b567d383f95c44da6b1dc474f432c8e25e4b994c740206444b2648095b7ed75,998c83617d96e51c165cfe7250fe2669d1bac33e002006ea3319705aab84c487
dyn19_full_no_mapping,bonn_crowd2,0,complete,6.4628000000000005,0.0,52.091381633,1.0,58,578873,578873,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,a700e391eed83f54872be21541cd8b1df1c5f91f3938fb4a89bab1da3fd43ead,f0542be8c557bd5a23a7187a04f235021ecdb76e2c7d7425f2ec6b5db28195ad
dyn19_full_no_mapping,bonn_crowd2,1,complete,4.5612,0.0,52.47861879,1.0,55,586118,586118,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,9e56740e187a4f7b0ea94decb966642994a067c882cd4c4bbb65cb9ee413d43e,07cec5c0905b1ef2fb31413e177c76c1b023a294461d3a29b9b3cd68c98c876e
dyn19_full_no_mapping,bonn_crowd2,2,complete,3.5115,0.0,53.198827437,1.0,54,550953,550953,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,19941a7dde8792a3d3922ce8cbc3bf8ac08df6bd60ee5b1862989c62757e2455,781cb599d50ceead170a382b0c9cbe94e7b548ac5dec9d842c6e8f38857cfe20
dyn19_full_no_mapping,bonn_crowd3,0,complete,4.0157,0.0,49.956891477,1.0,114,1737592,1737592,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,e67c0db174cf2ad9ea372c022e2c95036678693740b3e7521ee7b7b2859613ba,17ad642d5194a9dda247aed9d92c3314ce00bec3ea8ae7918d802fe30c42f9d7
dyn19_full_no_mapping,bonn_crowd3,1,complete,4.2125,0.0,49.436355262,1.0,119,1825215,1825215,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,c4c9b00f0aa629e208df337c8156e40b72a3ee30032f851c39e6cf353921471f,dac2fd5db4ab8a3afaaebdd7114591dfb119aaada5895b6067cfd86874d23047
dyn19_full_no_mapping,bonn_crowd3,2,complete,4.3447,0.0,50.089463886,1.0,113,1884348,1884348,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,3cbac914f723f40f1805b93fc09352572ab782e7b745cbafb3d4345b70e14771,23f511f6eae3a7325798a8e11caf9d8727f7be975c6ec8db1acb8932a34480df
dyn19_full_no_mapping,bonn_person_tracking,0,complete,4.6773,0.0,37.884407676,1.0,19,243723,243723,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,8a8b174390b8cef3fa386f29ac73d841ace65863fec9f1f303c2f6d8233288cc,3258ea00684ec634d59337cfa316b0a03dca5199d734bc77973c9bcf2eda3329
dyn19_full_no_mapping,bonn_person_tracking,1,complete,5.0042,0.0,37.341678814,1.0,29,215202,215202,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,f842f30377be60c44d9a68e72b52456d1d9ba517dc9216f73c3c09433006e75d,392b9b8294ff7e0459c4a284bbf262b1d4846a87eb8d1d76d0b1acf21fdfcc3f
dyn19_full_no_mapping,bonn_person_tracking,2,complete,4.2265,0.0,37.870054127,1.0,19,105069,105069,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,9122c9897bc0582574cbbe840b93178d02c157cd0af4b5c8375bf1e33c30b3b3,fa83dce59ec220bf9dd7b2c96187f21833d7edd9d21b86509134091bdd257abe
dyn19_full_no_mapping,bonn_person_tracking2,0,complete,8.8036,0.0,35.089896501,1.0,5,79005,79005,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,cb2ce6abafd96195c0b3d1a274e78cce0df349cb0db0f45d8dfbdb0ea74ae15e,ba18211b70787fe82d4a408779ed7fd3e2f43c5a507d2f46cdbb675ac526310a
dyn19_full_no_mapping,bonn_person_tracking2,1,complete,6.9257,0.0,35.114565278,1.0,10,330229,330229,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,93d1936369b7ae79608a822cdc6640eb032db9d61b032e8980f11b7867b8d08b,91c55b3c704fd3faf948d2e29a1c9e6909bdb975945af450c491efde651efc41
dyn19_full_no_mapping,bonn_person_tracking2,2,complete,9.479,0.0,34.799741859,1.0,5,82473,82473,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,6bbb018c811db0087815d3a4b1ae750004a3b627f0dae39c1d2d441c33787ecd,bd70e10481275534874c2060b493946792175367d06bbbdf82c4132f7d7b5b64
dyn19_full_no_mapping,tum_sitting_halfsphere,0,complete,4.3656,0.0,68.69869573,1.0,553,14988655,14988655,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,5dcfae1c76b727e7b5d079e2fb0d2e80dceb8fb7433dad3bcdb7bb2ef37434c4,aecb6a837fb59e5668859d7aaaca0c8cf230acd067aedf4151d2369fa0d080da
dyn19_full_no_mapping,tum_sitting_halfsphere,1,complete,6.553299999999999,0.0,66.689663254,1.0,606,15332797,15332797,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,b4ae94a8c779ce6621eab67d08d5ec9adb9b30636bb02113baab1d73c2e9e157,2044e1b5972f6d31b6ec909de9a637a1795a58a6ad5533209419ce0facc76ba2
dyn19_full_no_mapping,tum_sitting_halfsphere,2,complete,6.257300000000001,0.1862197,66.780733111,1.0,677,16275618,16275618,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,ee0bcb146f313cc016268c89bb583ec9b660b13a750aee86de23602b4b780b67,a501eb55666aec2e0d7e44366834122c82aeb43d99921fc6f8b82ca55307c6f4
dyn19_full_no_mapping,tum_walking_halfsphere,0,complete,3.5248,0.0,66.424395913,1.0,87,460486,460486,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,143aaf9965c2ec2497a547203f658cabf285b214026f2fd0ed8e3aaec788babf,e7d089e821ca9c3a2d070234ea781906d1c132375800da13da8138d6a0ba518f
dyn19_full_no_mapping,tum_walking_halfsphere,1,complete,3.6327,0.0,63.437039231,1.0,80,443407,443407,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,a7a4339c40f242dc838e238feee4c637508ac1fff6b212623502f1f167f792d9,d926cc5a6d505e3c504ab62adc364f9677fe6e72f85c10d5ae7763bbf5f8fb4f
dyn19_full_no_mapping,tum_walking_halfsphere,2,complete,3.6211,0.0,64.13267354,1.0,88,414778,414778,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,41e7ef7b7e66dc02322d300facfe647c3e3bb1bffd73507404bc2025c3f6f5ab,d328f138cec2b0aaae3d14cadc63f05774610ab384b920ec3884d5babcb56dfa
dyn19_full_no_mapping,tum_walking_static,0,complete,0.7504000000000001,0.0,42.979070327,1.0,243,7902987,7902987,fail,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,False,9427bb0d80f55a2aba7b4e386255c1bd47078ec9ed0f32a7d32f0c9d1497ae05,508e22f74aefd32ab9a1b590f166c0098d3db6837e2e066b4db0be867d9dbdb6
