method,role,dense,fr3_w_xyz_ate_cm,fr3_w_xyz_temporal_std_cm,fr3_w_half_ate_cm,fr3_w_half_temporal_std_cm,fr3_w_static_ate_cm,fr3_w_static_temporal_std_cm,fr3_s_half_ate_cm,fr3_s_half_temporal_std_cm,average_ate_cm,average_temporal_std_cm,statistic,source_type,source_document,source_table,local_rerun,protocol_match,claim_boundary
ORB-SLAM3,comparison-baseline,false,28.1,12.2,30.1,9.0,2.0,1.1,2.6,1.6,15.70,5.98,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
DynaSLAM,comparison-baseline,false,1.7,,2.6,,0.7,,2.8,,1.95,,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; temporal Std is unreported.
NICE-SLAM,comparison-baseline,true,113.8,48.9,,,137.3,21.7,93.3,35.3,114.80,35.30,source-reported three-sequence average,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; fr3/w/half is unreported and averages use reported entries.
ESLAM,comparison-baseline,true,45.7,28.5,60.8,27.9,93.6,20.7,3.6,1.6,50.93,19.68,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
RoDyn-SLAM,comparison-baseline,true,8.3,5.5,5.6,2.8,1.7,0.9,4.4,2.2,5.00,2.85,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
SplaTAM,comparison-baseline,true,136.6,33.7,185.4,67.6,78.3,23.5,14.1,7.0,103.60,32.95,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
GS-SLAM,comparison-baseline,true,37.2,9.9,60.0,20.7,8.4,4.1,7.4,5.4,28.25,10.03,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
GassiDy,comparison-baseline,true,3.5,1.6,3.7,1.9,0.6,0.3,2.4,1.4,2.55,1.30,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
DGS-SLAM (Kong et al.),comparison-baseline,true,4.1,2.2,5.5,2.8,0.6,0.2,4.1,1.6,3.58,1.70,source-reported keyframe-level ATE,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; keyframe-level ATE is not pooled with all-timestamp local results.
Photo-SLAM,comparison-baseline,true,88.3,48.9,33.5,9.3,9.4,6.3,3.2,1.4,33.60,16.48,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a DYN-19 protocol-matched rerun.
DyPho-SLAM,comparison-baseline,true,1.6,0.8,2.6,1.3,0.6,0.3,1.6,0.7,1.60,0.78,source-reported,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Context only; not a local rerun or protocol-matched result.
FlowParse-SLAM,reference-method,true,2.34,0.60,3.22,1.43,0.45,0.16,1.23,0.78,1.81,0.74,local result in source draft,user-provided-draft-report,FlowParse-SLAM.tex,tab:dynamic-tracking,false,false,Parity reference only; do not present as an external GDOR baseline without a distinct citable release.
