phase,config,config_label,sequence,seed,certificate_status,recovered_support_observed,mapping_support_present_for_recovered_frames,recovered_support_frames,tracking_recovery_audit_pixels,tracking_recovery_mapping_leak_pixels,benchmark_plan_sha256,manifest_sha256,run_summary_sha256,frame_metrics_sha256,source_commit,release_id
main,dyn19_full,T+F+R+A+M (Full),bonn_balloon,0,pass,true,true,15,502175,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,566a544408da0690e12d8b26f4642666712f1fe50b102659410386393ea6b280,1f83c8512abb25311e560be11a9a865b1dbb2c88c4bb465ad6cdcecbacb91163,d82ccf0a4586ad5d0bad7f4a2aea1a11b8d34afd7dfa14996d1bd67786e91d2b,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_balloon,1,pass,true,true,15,513478,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,b715b61479daf5fa0d0cdc048678535faaad74cf548504cd9c0aaef132205bd1,29e52b7f42c731d8a9780401e5c57e6c60bcd8f6dd530bd9cefea75c94198f06,7112708789aa19687204588ff989e4c3247f6dfe093c77d29f49dcc2791b7656,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_balloon,2,pass,true,true,15,516473,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,7f6d51f24445f61efe062458c8c4ede0ff6a89e32b7e11de7a81bdc19b8eb2aa,2b9be18a56fd5a4d976ff06055b1141df5cb3c03dd1a0d8d291428b215a904ea,82ba7bb8ba347ecbf2bf100f4c2e1dea31cb428100e56227943f98f9deb1cdea,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd,0,pass,true,true,61,1820559,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,fe060e25bf2f12ab9ef28e725812756d4e64056554fa135c711138a82023417e,b7137a9ab7fae783f483a9a480922f4236e11553cea34482409fe89fd0504d45,c61071119caccdf129321bf3da9b0e5a744de03ef36ce688fa9425264ab71dd2,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd,1,pass,true,true,73,1943940,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,427ac2aca75a314d9833715c7d7d55072b5d7f4b3bd7a48c2117d94de6f795a2,d499717990871b2a0ce50b84d971917671daed72dd61765ce9306b5ab2f429b7,72ee0bf4502ed5f345e7e0cc9f0bbf6fc9bf3973d9c4b6d4a18ad555738920d3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd,2,pass,true,true,65,1837460,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,dc8592b752b8a7caf3b5a472e9f5de293e3c2eeda5cd3b8e82a9ae718f786a06,faa39d3a3403066713dd66daff7a93091cd57ab8d31a1da61dd9e6fbf49cacf3,97cfedf8139b14bc21427ceb4abacd36635a0e26cc8a38f7142f560042b8855d,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd2,0,pass,true,true,72,767975,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,3edddc3654e2a0ac1781df5304e646a323861342d5378ee15082b7132da5fb46,514728b83a6041f855fa4d7c97dfeb0148e2e1d3224e690e73e4bd7aeb457612,a96f4994d13b5158808e867a46a527f4450bce41d5237141cdefdd2bd3fdb016,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd2,1,pass,true,true,56,632858,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,8c9bfc98a344bb3af12aa5b1dde9c3ad86f8216cf95eb7960dbfa6237667a483,5dda6e0740514ad86d70ff53adb963fe338977946b1b0c90e7f8aa3bf7303aea,e42314aefe65922750e5065c7c61acec6a4bdf6bce78696b79731a0200435ddd,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd2,2,pass,true,true,54,573906,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,6d30dbe51713b6a6ed2293d654dd37cdf6d54db03f56f71fab022429e625f8e8,40c145f825bd39104ef1d3fb8c7556b96c2b526382375af4dc4fa2fbb73a1656,3af5278d02f60369a0b1b808dd7eab4729cf52b4af94b0804fa2eba21b3b97df,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd3,0,pass,true,true,120,1977225,0,4a4df6245eb6249c43d88d0cd14f2e8aa8b409bc602fb4c10e7c72c2360e494e,78c78701dcb59a5f125a2666abf68186a11597da9acb97dc3cf5682180b8f0aa,c53dca0728177afaf83e026607a3bee389ec00be3848af5af45848cfcd7bfe03,f08b6496b9c79bc98dd9a9adbc091c4604f8c45f1680cf2a55873cf4cb5f1eb8,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
