phase,config,config_label,sequence,successful_runs,ate_rmse_cm,rpe_translation_cm,failure_rate_percent,runtime_seconds,recovery_audit_pixels_mean,recovery_mapping_leak_pixels_mean,certificate_passes,certificate_vacuous,certificate_failures,source_commit,release_id
main,dyn19_full,T+F+R+A+M (Full),bonn_balloon,3,3.169633333,4.235633333,0.000000000,30.165365772,510708.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd,3,3.215866667,2.421533333,1.474289833,57.172630030,1867319.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd2,3,11.079666667,4.844300000,0.000000000,49.907890759,658246.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_crowd3,3,5.756200000,2.772733333,0.000000000,49.750061184,1880359.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_person_tracking,3,5.516933333,7.714700000,0.000000000,38.531640853,199615.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),bonn_person_tracking2,3,9.209033333,6.332166667,0.000000000,36.571966827,165274.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),tum_sitting_halfsphere,3,4.863900000,1.745933333,0.000000000,66.324253678,12128323.667,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),tum_walking_halfsphere,3,3.609200000,1.339500000,0.000000000,60.056498044,526817.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),tum_walking_static,3,0.729733333,0.562100000,0.000000000,40.634575184,8093828.000,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_full,T+F+R+A+M (Full),tum_walking_xyz,3,2.147600000,1.157666667,0.000000000,48.384668092,468999.333,0.000,3,0,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,bonn_balloon,3,3.450966667,3.908833333,0.000000000,25.597917115,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,bonn_crowd,3,3.246400000,2.344466667,3.344120833,37.124025883,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,bonn_crowd2,3,6.347433333,4.158100000,0.000000000,35.075962431,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,bonn_crowd3,3,4.209833333,3.059366667,0.787091700,33.579407945,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,bonn_person_tracking,3,4.681100000,7.554400000,0.000000000,30.069738707,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,bonn_person_tracking2,3,8.896966667,6.269933333,0.000000000,30.123564188,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,tum_sitting_halfsphere,3,36.774966667,3.082600000,16.325263800,41.747224384,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,tum_walking_halfsphere,3,3.423400000,1.486533333,0.000000000,44.857034731,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,tum_walking_static,3,0.790066667,0.586033333,0.000000000,29.387359441,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_mapmatched,MapMatched,tum_walking_xyz,3,2.103166667,1.166966667,0.000000000,36.001748901,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_balloon,3,3.388066667,3.920300000,0.000000000,28.795365684,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_crowd,3,4.358200000,2.387100000,3.919453433,36.877554220,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_crowd2,3,42.499866667,5.288966667,0.000000000,38.814233317,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_crowd3,3,7.098433333,3.099933333,0.000000000,35.517897701,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_person_tracking,3,4.433566667,7.514766667,0.000000000,28.903344091,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,bonn_person_tracking2,3,8.779833333,6.300266667,0.000000000,39.752204204,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_sitting_halfsphere,3,24.175400000,2.542433333,11.049037867,44.275316489,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_walking_halfsphere,3,3.379200000,1.385300000,0.000000000,48.548969652,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_walking_static,3,0.737000000,0.587300000,0.000000000,30.355562316,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
main,dyn19_semantic,Semantic,tum_walking_xyz,3,2.341333333,1.168900000,0.000000000,47.186719297,0.000,0.000,0,3,0,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_balloon,3,3.092333333,4.219633333,0.000000000,31.098445322,390157.000,390157.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
mechanisms,dyn19_full_no_mapping,T+F+R+A+NoM (Full-NoM),bonn_crowd,3,3.177133333,2.381633333,1.725997867,55.475264611,1982639.000,1982639.000,0,0,3,14c6b2ca696a7eacda8f193e5c8a0a44e55d527e,DYN19_RESULTS_20260914_R1
