Method,w/xyz ATE,w/xyz Std,w/half ATE,w/half Std,w/static ATE,w/static Std,s/half ATE,s/half Std,Avg. ATE,Avg. Std
ORB-SLAM3 [ext],28.1,12.2,0.31,9.0,2.0,1.1,2.6,1.6,15.8,6
Dyna-SLAM [ext],1.7,×,2.6,×,0.7,×,2.8,×,2,×
NICE-SLAM [ext],113.8,48.9,×,×,137.3,21.7,93.3,35.3,114.8,33.3
ESLAM [ext],45.7,28.5,60.8,27.9,93.6,20.7,3.6,1.6,34.5,13.5
RoDyn-SLAM [ext],8.3,5.5,5.6,2.8,1.7,0.9,4.4,2.2,4.1,2.3
SplaTAM [ext],136.6,33.7,185.4,67.6,78.3,23.5,14.1,7.0,135.5,109.6
GS-SLAM [ext],37.2,9.9,60.0,20.7,8.4,4.1,7.4,5.4,28.5,10.0
GassiDy [ext],3.5,1.6,3.7,1.9,0.6,0.3,2.4,1.4,2.6,1.3
DGS-SLAM [ext],4.1,2.2,5.5,2.8,0.6,0.2,4.1,1.6,3.0,1.5
Photo-SLAM [ext],88.3,48.9,33.5,9.3,9.4,6.3,3.2,1.4,33.6,16.3
DyPho-SLAM [ext],1.6,0.8,2.6,1.3,0.6,0.3,1.6,0.7,1.6,0.7
DYN-19 Semantic,2.3413,0.0126,3.3792,0.1985,0.7370,0.0209,24.1754,12.5033,7.6582,9.5825
DYN-19 MapMatched,2.1032,0.0308,3.4234,0.0782,0.7901,0.0130,36.7750,5.0208,10.7729,15.0411
DYN-19 Full,2.1476,0.0324,3.6092,0.0581,0.7297,0.0225,4.8639,0.8029,2.8376,1.5508
