Method,Role,Source Type,Statistic,fr3/w/xyz ATE cm,fr3/w/xyz Temporal Std cm,fr3/w/half ATE cm,fr3/w/half Temporal Std cm,fr3/w/static ATE cm,fr3/w/static Temporal Std cm,fr3/s/half ATE cm,fr3/s/half Temporal Std cm,Average ATE cm,Average Temporal Std cm,Cells,Seeds,Protocol Match,Source,Claim Boundary
ORB-SLAM3,comparison-baseline,user-provided-draft-report,source-reported,28.1,12.2,30.1,9.0,2.0,1.1,2.6,1.6,15.70,5.98,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
DynaSLAM,comparison-baseline,user-provided-draft-report,source-reported,1.7,,2.6,,0.7,,2.8,,1.95,,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; temporal Std is unreported.
NICE-SLAM,comparison-baseline,user-provided-draft-report,source-reported three-sequence average,113.8,48.9,,,137.3,21.7,93.3,35.3,114.80,35.30,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; fr3/w/half is unreported and averages use reported entries.
ESLAM,comparison-baseline,user-provided-draft-report,source-reported,45.7,28.5,60.8,27.9,93.6,20.7,3.6,1.6,50.93,19.68,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
RoDyn-SLAM,comparison-baseline,user-provided-draft-report,source-reported,8.3,5.5,5.6,2.8,1.7,0.9,4.4,2.2,5.00,2.85,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
SplaTAM,comparison-baseline,user-provided-draft-report,source-reported,136.6,33.7,185.4,67.6,78.3,23.5,14.1,7.0,103.60,32.95,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
GS-SLAM,comparison-baseline,user-provided-draft-report,source-reported,37.2,9.9,60.0,20.7,8.4,4.1,7.4,5.4,28.25,10.03,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
GassiDy,comparison-baseline,user-provided-draft-report,source-reported,3.5,1.6,3.7,1.9,0.6,0.3,2.4,1.4,2.55,1.30,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
DGS-SLAM (Kong et al.),comparison-baseline,user-provided-draft-report,source-reported keyframe-level ATE,4.1,2.2,5.5,2.8,0.6,0.2,4.1,1.6,3.58,1.70,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; keyframe-level ATE is not pooled with all-timestamp local results.
Photo-SLAM,comparison-baseline,user-provided-draft-report,source-reported,88.3,48.9,33.5,9.3,9.4,6.3,3.2,1.4,33.60,16.48,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a DYN-19 protocol-matched rerun.
DyPho-SLAM,comparison-baseline,user-provided-draft-report,source-reported,1.6,0.8,2.6,1.3,0.6,0.3,1.6,0.7,1.60,0.78,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Context only; not a local rerun or protocol-matched result.
FlowParse-SLAM,reference-method,user-provided-draft-report,local result in source draft,2.34,0.60,3.22,1.43,0.45,0.16,1.23,0.78,1.81,0.74,,,false,FlowParse-SLAM.tex tab:dynamic-tracking,Parity reference only; do not present as an external GDOR baseline without a distinct citable release.
GDOR-SLAM / DYN-19 Full,anchor-method,local-rerun,three-seed mean ATE; temporal dispersion not exported,2.148,,3.609,,0.730,,4.864,,2.838,,30,0;1;2,local DYN-19 only,paper/data/dyn19_main_90_cells.csv,"ATE is a three-seed local mean. Empty temporal-Std cells are a release blocker for exact FlowParse-table parity, not evidence of zero dispersion."
