Method,Role,Source Type,Tracking ms,Mapping ms,FPS,Sequence Time,Local End-to-End Mean Seconds,Hardware or Scope,Protocol Match,Source,Claim Boundary
ORB-SLAM3,comparison-baseline,user-provided-draft-report,52.5,,19.20,<1 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
DynaSLAM,comparison-baseline,user-provided-draft-report,141,,11.70,<2 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
NICE-SLAM,comparison-baseline,user-provided-draft-report,3535,3055,0.15,>30 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
ESLAM,comparison-baseline,user-provided-draft-report,1002,703,0.58,>10 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
RoDyn-SLAM,comparison-baseline,user-provided-draft-report,159,678,1.19,>10 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
SplaTAM,comparison-baseline,user-provided-draft-report,3417,759,0.23,>30 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
GS-SLAM,comparison-baseline,user-provided-draft-report,775,164,1.07,>10 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
Photo-SLAM,comparison-baseline,user-provided-draft-report,51.5,2.5,17.53,<1 min 30 s,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; not a DYN-19 protocol-matched rerun.
DGS-SLAM (Kong et al.),comparison-baseline,user-provided-draft-report,,,1.60,<5 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; tracking and mapping stage times are unreported.
DG-SLAM,comparison-baseline,user-provided-draft-report,89.2,549.3,1.55,<5 min,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
DyPho-SLAM,comparison-baseline,user-provided-draft-report,61.7,3.2,16.08,<1 min 30 s,,source-reported different hardware,false,FlowParse-SLAM.tex tab:dynamic-runtime,Descriptive context only; hardware and reporting scope differ.
FlowParse-SLAM,reference-method,user-provided-draft-report,56.9,2.5,17.20,,,RTX 4090 backend rate excluding masks and segmentation,false,FlowParse-SLAM.tex tab:dynamic-runtime,Parity reference only; do not present as an external GDOR baseline without a distinct citable release.
GDOR-SLAM / DYN-19 Full,anchor-method,local-rerun,,,,,47.750,RTX 4090; full-sequence end-to-end wall time over 30 runs,local DYN-19 only,paper/data/dyn19_main_90_cells.csv,Per-stage tracking/mapping latency and FPS are not exported. Empty cells are a release blocker for exact FlowParse-runtime parity.
